time,flux
1264.821429,1.000122536
1264.841863,1.000281667
1264.862297,0.999950294
1264.882732,0.999770661
1264.903166,0.999878238
1264.9236,0.999926692
1264.944035,0.999939089
1264.964469,1.000081533
1264.984903,1.000117294
1265.005338,1.000005722
1265.025772,0.999844263
1265.046206,0.999978424
1265.066641,1.000047919
1265.087075,1.000292582
1265.107509,1.000232326
1265.127944,1.000177374
1265.148378,0.999928657
1265.168812,1.000064608
1265.189247,1.000089522
1265.209681,0.99990571
1265.230115,1.000042437
1265.25055,1.000182144
1265.270984,1.000044702
1265.291418,1.000036
1265.311853,1.000088211
1265.332287,1.000129457
1265.352722,0.999850398
1265.373156,1.000002265
1265.39359,0.99995804
1265.414025,1.000080106
1265.434459,0.999924185
1265.454893,0.999984146
1265.475328,0.999956251
1265.495762,0.999871138
1265.536631,0.999963165
1265.557065,0.999827211
1265.577499,0.999995828
1265.597934,0.999913099
1265.618368,0.999993563
1265.638802,0.999828343
1265.659237,0.999988199
1265.679671,0.999789123
1265.700105,0.999766294
1265.72054,0.999956489
1265.740974,1.000196096
1265.761408,1.000066518
1265.781843,1.00020921
1265.802277,1.000154493
1265.822711,1.000123499
1265.843146,1.000237819
1265.86358,1.000048875
1265.884014,0.99995041
1265.904449,1.000089644
1265.924883,0.999899986
1265.945317,1.000164624
1265.965752,1.000012993
1265.986186,1.000006676
1266.00662,1.00017583
1266.027055,0.999919059
1266.047489,1.000147459
1266.067923,1.000094531
1266.088358,0.999963583
1266.108792,0.999931039
1266.129227,0.999901059
1266.149661,0.999935271
1266.170095,0.999992609
1266.19053,0.999969722
1266.210964,0.999985099
1266.231398,0.999914053
1266.251833,0.999850398
1266.272267,0.999851829
1266.292701,0.999897603
1266.313136,0.999954047
1266.33357,0.999785911
1266.354004,0.999972226
1266.374439,1.000010132
1266.394873,0.999960902
1266.415307,0.999974253
1266.435742,1.000063892
1266.456176,0.999944095
1266.47661,0.99992395
1266.497045,0.999880919
1266.517479,1.000060554
1266.537913,0.999974491
1266.558348,1.000066275
1266.578782,1.00006854
1266.599216,1.000169146
1266.619651,1.000175702
1266.640085,1.000110499
1266.660519,0.999892481
1266.680954,1.0000925
1266.701388,1.000018476
1266.721822,1.00014054
1266.742257,0.999944094
1266.762691,0.999935094
1266.783125,1.000051376
1266.80356,1.000179878
1266.823994,1.00004041
