time,intensity_800,intensity_1200,intensity_1400
14.84,5.759375,1.75,2.75
14.88,5.303125,1.875,2.125
14.92,1.190625,2.75,2.375
14.96,1,2,3.25
15,0.875,2.875,2.875
15.04,1.125,2.75,2.125
15.08,0.75,2.25,3.5
15.12,0.375,2.5,3.5
15.16,0.625,2.875,3.75
15.2,0.75,3.375,2.375
15.24,1.25,2.5,3
15.28,0.5,2.125,2.875
15.32,0.75,2,2.75
15.36,0.625,2.5,3.25
15.4,0.5,2.125,1.625
15.44,0.5,2.25,2.375
15.48,0.625,1.75,3.25
15.52,1.25,1.625,2
15.56,0.375,2.125,2.25
15.6,0.875,2.75,3.25
15.64,0.625,3.125,2.875
15.68,0.375,2.625,2.75
15.72,0.75,3.125,3
15.76,0.75,2.5,2.5
15.8,0.5,2.375,4
15.84,0.625,2,2.375
15.88,0.5,2.43125,2.65625
15.92,0.375,2.296875,3.984375
15.96,0.25,4.146875,3.984375
16,1.10625,5.65625,5.53125
16.04,1.421875,3.103125,3.640625
16.08,4.346875,2.403125,3.140625
16.12,5.65625,2.25,2.625
16.16,1.278125,2.375,4.375
16.2,0.178125,1.875,2.75
16.24,0.375,2.125,3.625
16.28,0.5,2.875,2.75
16.32,1.125,2,2.75
16.36,1,2.125,3.125
16.4,0.375,2.75,2.125
16.44,1.5,3,1.875
16.48,0.75,2.125,1.625
16.52,0.25,2.75,3.125
16.56,1.125,2.5,3.125
16.6,0.375,1.875,1.625
16.64,0.5,2.25,2.625
16.68,0.75,2.875,3
16.72,0,2.25,2.625
16.76,1,1.75,2.25
16.8,0.875,1.875,2.5
16.84,0.625,3.125,2.5
16.88,1.125,2.125,2.625
16.92,0.25,2.5,2.5
16.96,0.75,1.625,3.875
17,1,2,3
17.04,0.625,1.875,3.375
17.08,1.125,2.875,2.625
17.12,0.375,2.125,2.625
17.16,1.75,2.921875,3.734375
17.2,1,5.45625,4.03125
17.24,1,4.296875,3.734375
17.28,1.421875,3.259375,2.296875
17.32,5.05625,1.875,2.625
17.36,6.171875,2.375,2.5
17.4,1.934375,2.625,2.375
17.44,0.625,2,3.25
17.48,0.25,1.75,2.875
17.52,1.375,2.5,1.625
17.56,1,1.5,2.25
17.6,0.75,2.125,3.25
17.64,0.5,1.75,2.75
17.68,0.375,3.25,3.375
17.72,1,2.25,2.875
17.76,1.125,2,3.375
17.8,1.125,2,3
17.84,0.25,1.5,2.875
17.88,0.625,2.25,2.875
17.92,0.5,2,2.625
17.96,1,2.75,3.5
18,1,2.125,2.75
18.04,0.375,2,2.375
18.08,0.75,1.875,2.625
18.12,0.5,3,2.5
18.16,0.875,3.75,2.25
18.2,0.75,2.375,3.25
18.24,0.5,2.25,3.5
18.28,0.625,1.5,1.625
18.32,0,2.5,3.125
18.36,1.5,1.75,2.5
18.4,0.75,3.225,2.5
18.44,1.125,4.346875,4.484375
18.48,0.5,5.925,4.875
18.52,1.55,3.396875,2.484375
18.56,4.821875,2.875,2.75
18.6,6.65,2,2.375
18.64,1.596875,1.875,3.375
18.68,0.125,1.375,1.375
18.72,1,1.25,3.75
18.76,1.125,2.5,2.125
18.8,0.875,2.5,3.125
18.84,1,2.25,3
18.88,1.25,2.375,3
18.92,0.625,3.75,3.75
18.96,0.375,2.25,3.25
19,0.625,1.875,2.5
19.04,1,2.625,3
19.08,0.5,2.25,3.375
19.12,0.75,2.125,1.75
19.16,0.75,1.625,3.375
19.2,1,3,2.75
19.24,0.5,2.25,2.875
19.28,0.5,2.125,2.375
19.32,0.75,2.75,2.875
19.36,0.625,1.625,2.25
19.4,1,2.125,1.875
19.44,0.875,2.625,3.25
19.48,0.625,2.625,3.625
19.52,0.5,2.375,2.75
19.56,0.125,2,3.125
19.6,1,1.75,3
19.64,0.75,2.79375,1.71875
19.68,0.625,3.90625,3.78125
19.72,1.125,5.940625,4.828125
19.76,1.19375,2.871875,3.984375
19.8,3.15625,2.18125,2.28125
19.84,7.040625,2.25,1.625
19.88,2.771875,3.375,2.25
19.92,1.48125,2.75,2.75
19.96,1,2.75,2.25
20,0.375,2,2.375
20.04,1,1.625,3
20.08,0.75,1.875,2.5
20.12,1.375,2.625,3
20.16,0.75,2.75,2
20.2,0.5,3.75,2.75
20.24,0.875,1.625,2.75
20.28,0.625,1.25,2.625
20.32,1,2.75,2.25
20.36,1.125,3.5,2.875
20.4,0.625,1.875,3
20.44,0.875,3.625,3
20.48,0.375,2.5,3.5
20.52,0.25,1.875,1.75
20.56,0.75,1.875,3
20.6,1.125,2.5,2.625
20.64,0.875,2.75,2.75
20.68,0.875,2.875,4.25
20.72,0.875,2.125,2.5
20.76,0.875,1.875,2.125
20.8,1.25,2.25,2.875
20.84,0.75,2.125,3.25
20.88,0.625,2.390625,2.578125
20.92,1.25,3.5625,4.4375
20.96,0.625,5.35625,5.28125
21,1.140625,3.015625,4.328125
21.04,4.1875,2.7375,2.1875
21.08,6.38125,1.875,2.875
21.12,2.890625,2.875,2.375
21.16,1.2125,1.75,3
21.2,0.375,2,2.875
21.24,1.125,1.75,2.875
21.28,0.875,2.875,2.5
21.32,1.25,1.875,3.75
21.36,0.75,2.625,2.5
21.4,1,1.875,3.375
21.44,1.125,2.125,3.25
21.48,0.75,1.375,2.75
21.52,0.875,2.75,2.5
21.56,0.875,2.75,2.25
21.6,0.75,2,2.75
21.64,1,2,2.25
21.68,1.5,2,2.875
21.72,0.875,2.5,2.75
21.76,0.625,1.75,2.75
21.8,0.75,1.5,2.5
21.84,0.875,2.875,3.375
21.88,0.5,1.875,2.375
21.92,0.625,3,3.375
21.96,0.875,2.125,2.375
22,0.5,3.125,2.25
22.04,0.75,2.5,4
22.08,0.5,2.75,2.25
22.12,0.375,1.778125,2.140625
22.16,1.25,2.83125,2.90625
