time,intensity_400,intensity_600,intensity_800
2.16,0,0,0.125
2.165,0,0,0.125
2.17,0.125,0.125,0
2.175,0,0,0.125
2.18,0.125,2.383375,0.25
2.185,0,13.5375,0
2.19,0,1.55,0.25
2.195,0.125,0.25,0.75
2.2,0,0,0.25
2.205,0,0.125,0.25
2.21,0,0.125,0.25
2.215,0.125,0.25,0.25
2.22,0,0,0.125
2.225,0.125,0,0.25
2.23,0,0,0
2.235,0.125,0.125,0.125
2.24,0,0.125,0.375
2.245,7.375,0.125,0.25
2.25,29.5,0.125,0.125
2.255,1.25,0.25,0.125
2.26,0.25,0,0.375
2.265,0,0,0.125
2.27,0,0.125,0.125
2.275,0,0,0.125
2.28,0.125,0.125,0.125
2.285,0,0,0.125
2.29,0.125,0,0.125
2.295,0,0.125,0.25
2.3,0,0,0
2.305,0,0,0.25
2.31,0.125,0.25,1.465125
2.315,0,0,10.49525
2.32,0,0,1.292125
2.325,0,0.125,0.125
2.33,0.125,0,0
2.335,0.125,0.125,0.125
2.34,0,0,0
2.345,0.125,0.541625,0
2.35,0.125,10.941625,0.125
2.355,0.125,4.783375,0
2.36,0.125,0,0.125
2.365,0.125,0,0
2.37,0,0,0
2.375,0,0.25,0.125
2.38,0,0.125,0.125
2.385,0,0.125,0.125
2.39,0.125,0.125,0
2.395,0,0,0.25
2.4,0,0.125,0
2.405,0.125,0,0.25
2.41,1.5,0.125,0.5
2.415,28.875,0.125,0.125
2.42,8.375,0,0
2.425,0,0,0.125
2.43,0,0.125,0.125
2.435,0,0,0.25
2.44,0,0.125,0
2.445,0,0.25,0.125
2.45,0.125,0.125,0
2.455,0,0.125,0.5
2.46,0,0.125,0
2.465,0,0.375,0.125
2.47,0,0,0.125
2.475,0.125,0.125,0.259375
2.48,0,0,7.503125
2.485,0,0,4.183875
2.49,0,0.25,0.375
2.495,0.125,0,0
2.5,0,0.125,0.125
2.505,0.125,0.125,0
2.51,0,0.179125,0.125
2.515,0,6.029125,0
2.52,0,9.35,0.125
2.525,0,0.233375,0.25
2.53,0,0.25,0.25
2.535,0,0.125,0.25
2.54,0.125,0,0.375
2.545,0.25,0.25,0.25
2.55,0,0.125,0.125
2.555,0,0,0
2.56,0.125,0.125,0.125
2.565,0,0,0.125
2.57,0,0,0.25
2.575,0.375,0.125,0
2.58,19.625,0,0.125
2.585,20.75,0.25,0.125
2.59,0.375,0,0
2.595,0,0,0.25
2.6,0,0,0.125
2.605,0.125,0.125,0.125
2.61,0.125,0,0.125
2.615,0,0.375,0.125
2.62,0,0.125,0.375
2.625,0.125,0.125,0.125
2.63,0,0,0.125
2.635,0,0.125,0.25
2.64,0.125,0.125,0.375
2.645,0,0.25,4.0635
2.65,0,0,8.415625
2.655,0,0,0.509375
2.66,0,0.375,0
2.665,0.125,0.125,0.125
2.67,0.125,0.125,0
2.675,0,0.125,0.5
2.68,0,1.929125,0.125
2.685,0,12.8375,0.125
2.69,0.125,1.7125,0.125
2.695,0,0,0.125
2.7,0.125,0,0
2.705,0,0,0.125
2.71,0,0,0.125
2.715,0,0,0.375
2.72,0.125,0.25,0.375
2.725,0,0,0
2.73,0.125,0,0
2.735,0.25,0,0
2.74,0,0,0.25
2.745,6,0.125,0
2.75,29.875,0,0.25
2.755,2,0.125,0.125
2.76,0,0,0
2.765,0,0.125,0.25
2.77,0,0,0
2.775,0.125,0.375,0
2.78,0,0,0
2.785,0,0.125,0.375
2.79,0.125,0.125,0.125
2.795,0,0.125,0.125
2.8,0,0.25,0.375
2.805,0.125,0,0
2.81,0.125,0.25,0.951
2.815,0.125,0,10.533875
2.82,0,0,1.68125
2.825,0,0,0.125
2.83,0,0.125,0
2.835,0,0,0
2.84,0,0.25,0
2.845,0,0.575,0.25
2.85,0.125,8.775,0.125
2.855,0,5.054125,0
2.86,0,0,0
2.865,0.25,0.125,0.25
2.87,0,0,0.25
2.875,0,0.5,0.125
2.88,0,0.375,0.125
2.885,0,0.375,0.125
2.89,0,0.25,0
2.895,0,0.125,0.125
2.9,0,0.125,0.125
2.905,0.125,0,0.125
2.91,1.75,0.125,0.125
2.915,30.75,0,0.25
2.92,7.75,0.125,0.5
2.925,0,0,0.125
2.93,0,0,0.125
2.935,0,0.125,0.125
2.94,0,0,0.125
2.945,0,0.25,0.125
2.95,0,0.125,0.125
2.955,0,0,0
2.96,0,0,0.5
2.965,0.125,0.5,0
2.97,0,0.25,0.125
2.975,0.125,0,0.129625
2.98,0,0.375,7.853625
2.985,0,0,5.226
2.99,0,0.125,0.125
2.995,0.125,0.125,0.125
3,0,0.125,0
3.005,0,0.125,0
3.01,0,0.25,0.25
3.015,0,5.341625,0
3.02,0.125,10.325,0.125
3.025,0.125,0.325,0.25
3.03,0,0.125,0.125
3.035,0,0.125,0
3.04,0,0.25,0
3.045,0,0,0.125
3.05,0.125,0,0.25
3.055,0.125,0,0.375
3.06,0,0,0
3.065,0,0,0.125
3.07,0,0,0.25
3.075,0,0.25,0.25
3.08,13.75,0,0.5
3.085,22.75,0,0
3.09,0.625,0.125,0.125
3.095,0.25,0.125,0.125
3.1,0.25,0,0.125
3.105,0,0.25,0.25
3.11,0,0.125,0.25
3.115,0,0.125,0.125
3.12,0,0.125,0.125
3.125,0.125,0.25,0
3.13,0,0,0.25
3.135,0.125,0.25,0.25
3.14,0,0.125,0.125
3.145,0,0.125,3.367125
3.15,0.125,0.25,9.76975
3.155,0.125,0.5,0.73025
3.16,0,0,0.25
3.165,0,0.25,0
